stop_id,gini_walk15,gini_multimodal,arpu_low_ratio_walk15,arpu_low_ratio_multimodal
011725,0.119229,0.121995,0.297666,0.239162
011726,0.119845,0.122041,0.304632,0.236752
011762,0.143074,0.162686,0.437366,0.438901
011773,0.136091,0.132642,0.255968,0.298606
016532,0.145877,0.209302,0.495102,0.494184
016725,0.146248,0.156502,0.410522,0.425545
016727,0.192455,0.194523,0.495989,0.476597
019313,0.161433,0.142424,0.252174,0.205436
019314,0.150558,0.143380,0.245529,0.202532
019316,0.130974,0.128763,0.197158,0.187485
022005,0.136800,0.125928,0.228435,0.205554
036678,0.219411,0.224982,0.457362,0.438243
038671,0.145534,0.141080,0.454918,0.426423
038673,0.146022,0.141649,0.455184,0.427822
038674,0.150687,0.141659,0.464731,0.424422
038675,0.148583,0.141461,0.459323,0.423913
038678,0.147214,0.141805,0.457943,0.423926
038680,0.148632,0.141595,0.459625,0.418396
038682,0.145535,0.141243,0.450214,0.417550
038683,0.146187,0.140966,0.451249,0.427476
038686,0.164809,0.141093,0.477856,0.426294
038687,0.149157,0.144121,0.461614,0.424684
038692,0.145813,0.140960,0.455570,0.422820
038717,0.263352,0.247646,0.448054,0.470892
038791,0.150443,0.147882,0.427167,0.410978
040525,0.167277,0.159832,0.356837,0.373208
040608,0.144511,0.156064,0.426531,0.416326
040609,0.117128,0.116018,0.368586,0.361309
040612,0.128445,0.122325,0.393266,0.387599
040761,0.153324,0.141752,0.421758,0.423942
040762,0.150728,0.179418,0.423175,0.439850
040763,0.147887,0.144571,0.427189,0.429254
040789,0.128640,0.125270,0.459745,0.460135
041071,0.212249,0.234536,0.502252,0.480822
041092,0.115124,0.120064,0.391712,0.333614
041093,0.113289,0.117923,0.324121,0.370882
041094,0.117305,0.117138,0.360596,0.377970
041095,0.117269,0.116512,0.367400,0.360941
041209,0.223564,0.225049,0.493593,0.486087
042933,0.218611,0.197120,0.453579,0.477694
043192,0.125351,0.134738,0.154470,0.281094
043193,0.121936,0.131293,0.150541,0.240728
043331,0.114662,0.116216,0.267659,0.294172
043341,0.130266,0.126063,0.174761,0.268315
043342,0.124405,0.128712,0.371201,0.420811
043343,0.182723,0.202399,0.413682,0.434561
043548,0.113441,0.126432,0.161441,0.217964
043554,0.151311,0.130536,0.191312,0.193650
043555,0.148374,0.132519,0.170662,0.198428
043556,0.141968,0.140628,0.175924,0.207310
043571,0.113001,0.122430,0.168959,0.221857
044076,0.115749,0.117483,0.394628,0.342544
044127,0.151105,0.143503,0.430805,0.422431
044135,0.141935,0.137941,0.287280,0.334774
044557,0.135809,0.148361,0.423270,0.424240
044637,0.114125,0.112997,0.395200,0.385346
044638,0.113624,0.117103,0.394058,0.381913
045755,0.114889,0.109282,0.256715,0.317095
047671,0.106241,0.129310,0.357978,0.388337
048471,0.136665,0.194798,0.291048,0.383453
