stop_id,distance_from_largest_betweenness_centroid,distance_from_largest_betweenness_medoid,distance_from_landuse_centroid
1432111,7.159,7.136,5.371
1440109,7.309,7.287,5.643
1440107,7.182,7.161,5.715
1440108,7.179,7.158,5.706
1456197,6.566,6.539,3.554
1456198,6.449,6.422,3.616
1456194,6.752,6.726,3.915
1456195,6.744,6.718,3.948
1456107,7.014,6.989,4.158
1456118,7.018,6.992,4.108
1453105,7.468,7.443,4.589
1453106,7.459,7.433,4.575
1453127,7.419,7.394,4.516
1453185,7.441,7.415,4.487
1456153,6.913,6.888,4.097
1433120,6.676,6.651,4.147
1433121,6.662,6.637,4.139
1432122,6.88,6.855,4.315
1432123,6.887,6.862,4.317
1456196,6.776,6.75,3.798
1440101,6.523,6.503,5.5
1440102,6.462,6.442,5.45
1434154,5.826,5.806,4.906
1434177,5.852,5.833,5.281
1434178,5.84,5.82,5.238
1434179,5.816,5.798,5.448
1434180,5.828,5.809,5.438
1434172,5.681,5.662,5.296
1433113,5.641,5.62,4.751
1434102,5.66,5.64,4.927
1434103,5.684,5.663,4.873
1434112,5.648,5.628,4.779
1434167,5.631,5.611,4.948
1434168,5.655,5.635,4.947
1434183,5.549,5.531,5.342
1434184,5.581,5.563,5.379
1432180,7.323,7.299,5.022
1432181,7.257,7.233,4.964
1432178,7.105,7.081,4.847
1432179,7.091,7.067,4.834
1455158,7.743,7.719,5.257
1455159,7.758,7.734,5.255
1432107,7.046,7.022,4.657
1432125,6.974,6.95,4.625
1432164,6.978,6.954,4.671
1432126,7.156,7.132,4.76
1432124,7.167,7.143,4.548
1432105,7.168,7.143,4.669
1432106,7.077,7.052,4.574
1434153,5.973,5.952,5.007
1433166,6.218,6.197,5.173
1434165,6.244,6.223,5.232
1434169,5.942,5.922,5.088
1431141,5.426,5.403,4.228
1431154,5.232,5.21,4.186
1431129,6.183,6.158,3.814
1431130,6.209,6.184,3.858
1431182,6.208,6.183,3.895
1431603,6.154,6.129,3.875
1431604,6.154,6.129,3.875
1420601,4.234,4.217,4.869
1420602,4.234,4.217,4.869
1431143,5.452,5.428,3.8
1431144,5.413,5.389,3.861
1431142,5.408,5.385,4.09
1431145,5.622,5.597,3.657
1431146,5.574,5.55,3.671
1431131,6.031,6.006,3.669
1431132,6.008,5.983,3.642
1431149,5.901,5.876,3.552
1431150,5.938,5.912,3.542
1453104,8.005,7.98,4.953
1453116,7.993,7.967,4.923
1453126,7.981,7.955,4.978
1453128,8.014,7.989,4.997
1453130,8.047,8.021,5.012
1453132,8.091,8.066,5.042
1453182,8.016,7.99,4.965
1453184,7.978,7.953,4.969
1453186,8.01,7.984,4.988
1453189,7.981,7.955,4.946
1453202,7.974,7.948,4.934
1453287,8.044,8.019,5.005
1453601,8.08,8.054,5.025
1453602,8.08,8.054,5.025
1457106,8.089,8.064,5.07
1457107,8.126,8.101,5.118
1431147,5.747,5.722,3.611
1431148,5.706,5.681,3.613
1431151,5.784,5.759,3.493
1431152,5.816,5.79,3.467
1420101,3.769,3.755,5.21
1420102,3.764,3.751,5.199
1100109,3.078,3.066,5.183
1100110,3.091,3.079,5.17
1100123,3.044,3.032,5.208
1420105,4.353,4.339,5.389
1420106,4.295,4.281,5.362
1420107,4.719,4.704,5.488
1420108,4.66,4.645,5.467
1420123,4.312,4.295,4.988
1420124,4.316,4.3,4.989
1420115,3.888,3.873,5.111
1420116,3.984,3.968,4.986
1420109,4.756,4.739,5.172
1420112,4.664,4.647,4.979
1420119,4.709,4.691,4.978
